Price,Area,Floor,Bedroom,Restroom,Roadfrontage,Legal,Lat,Long
73.0,37.0,3.0,5.0,6.0,0,1,10.77526035,106.69957286491969
4.6,33.0,,2.0,2.0,0,0,10.8010732,106.6798916250364
5.0,78.0,2.0,2.0,2.0,1,0,10.7733621,106.7597722
3.0,21.0,4.0,4.0,4.0,0,0,10.737754800000001,106.72971280655217
2.88,40.0,3.0,4.0,3.0,0,1,10.7705525,106.59952282588061
16.5,176.0,6.0,7.0,7.0,0,0,10.8121855,106.70404172557386
14.3,126.0,4.0,8.0,8.0,1,0,10.7763897,106.7011391
2.0,60.0,1.0,,,0,1,10.8298295,106.7617899
5.3,70.0,3.0,4.0,3.0,0,1,10.737754800000001,106.72971280655217
5.4,48.0,2.0,2.0,2.0,0,0,10.8010732,106.6798916250364
1.55,42.0,2.0,2.0,2.0,0,1,10.8352833,106.67406562042235
6.9,77.0,3.0,3.0,3.0,0,0,10.8352833,106.67406562042235
3.0,50.0,3.0,,3.0,1,1,10.8298295,106.7617899
7.9,63.0,3.0,2.0,2.0,0,0,10.8121855,106.70404172557386
5.4,60.0,4.0,3.0,2.0,0,1,10.8298295,106.7617899
7.3,46.0,3.0,6.0,9.0,0,1,10.8010732,106.6798916250364
3.8,50.0,4.0,10.0,5.0,0,0,10.8121855,106.70404172557386
3.99,60.0,,3.0,2.0,1,0,10.8352833,106.67406562042235
15.0,90.0,5.0,7.0,,1,1,10.8298295,106.7617899
2.15,48.0,2.0,2.0,2.0,1,1,10.7220335,106.62949387003158
5.1,43.0,3.0,3.0,4.0,0,0,10.8010732,106.6798916250364
4.5,49.0,2.0,2.0,2.0,0,0,10.8030656,106.65227606400094
5.8,62.0,4.0,4.0,4.0,0,1,10.79159445,106.62785362180159
19.5,173.0,3.0,10.0,10.0,1,1,10.737754800000001,106.72971280655217
23.0,133.0,4.0,6.0,5.0,0,0,10.8030656,106.65227606400094
3.8,62.0,6.0,3.0,3.0,0,1,10.7607295,106.70710890359896
2.85,27.0,3.0,2.0,2.0,1,1,10.8030656,106.65227606400094
4.4,110.0,2.0,2.0,2.0,1,1,10.7705525,106.59952282588061
6.6,48.0,5.0,4.0,5.0,0,1,10.8352833,106.67406562042235
13.5,84.0,6.0,5.0,6.0,1,1,10.8352833,106.67406562042235
4.99,56.0,2.0,2.0,3.0,1,0,10.79159445,106.62785362180159
5.6,105.0,,2.0,2.0,1,1,10.861410750000001,106.66420925636413
8.8,123.0,4.0,3.0,3.0,0,1,10.8352833,106.67406562042235
0.45,52.0,2.0,6.0,2.0,0,1,10.7763897,106.7011391
2.95,45.0,3.0,2.0,,0,1,10.8298295,106.7617899
6.4,50.0,5.0,,,1,1,10.8121855,106.70404172557386
6.5,60.0,5.0,6.0,4.0,0,1,10.8030656,106.65227606400094
12.0,300.0,3.0,6.0,3.0,1,1,10.737754800000001,106.72971280655217
7.6,248.0,4.0,3.0,2.0,1,1,10.7500035,106.51488582967849
5.25,70.0,3.0,4.0,4.0,1,1,10.8298295,106.7617899
2.8,17.0,5.0,6.0,4.0,0,1,10.8030656,106.65227606400094
6.0,60.0,4.0,4.0,4.0,1,0,10.8030656,106.65227606400094
10.0,65.0,4.0,6.0,,0,1,10.778752650000001,106.6870307478091
4.7,113.0,,4.0,2.0,0,1,10.7705525,106.59952282588061
5.5,56.0,2.0,3.0,3.0,0,0,10.8352833,106.67406562042235
4.9,40.0,3.0,3.0,3.0,0,0,10.79159445,106.62785362180159
1.5,132.0,4.0,4.0,,0,1,10.7763897,106.7011391
9.99,72.0,3.0,7.0,8.0,0,1,10.8030656,106.65227606400094
1.95,42.0,2.0,2.0,2.0,0,1,10.7705525,106.59952282588061
6.25,48.0,4.0,4.0,4.0,0,0,10.8010732,106.6798916250364
13.7,126.0,1.0,2.0,2.0,0,0,10.8121855,106.70404172557386
20.0,136.0,3.0,3.0,4.0,1,1,10.8311346,106.7715507
7.4,60.0,3.0,,3.0,0,1,10.8121855,106.70404172557386
22.0,180.0,,,,1,1,10.7763897,106.7011391
10.1,55.0,5.0,16.0,,1,1,10.8121855,106.70404172557386
13.8,77.0,6.0,15.0,16.0,1,1,10.737754800000001,106.72971280655217
2.4,20.0,2.0,2.0,2.0,0,1,10.8352833,106.67406562042235
9.0,173.0,5.0,4.0,3.0,0,1,10.745868250000001,106.63910717557408
7.1,98.0,2.0,4.0,,0,1,10.8121855,106.70404172557386
8.5,52.0,4.0,4.0,3.0,0,0,10.8010732,106.6798916250364
31.0,150.0,5.0,5.0,5.0,0,1,10.8030656,106.65227606400094
38.0,6.0,,14.0,10.0,1,0,10.8121855,106.70404172557386
7.7,60.0,3.0,3.0,4.0,1,0,10.8352833,106.67406562042235
12.0,60.0,5.0,4.0,4.0,0,1,10.8121855,106.70404172557386
3.1,54.0,2.0,2.0,2.0,0,1,10.8298295,106.7617899
4.5,66.0,3.0,,,1,1,10.7726536,106.66821544343898
7.9,30.0,4.0,4.0,4.0,0,1,10.77526035,106.69957286491969
5.0,60.0,3.0,2.0,2.0,0,1,10.861410750000001,106.66420925636413
7.2,62.0,5.0,,,0,1,10.8121855,106.70404172557386
5.95,57.0,3.0,3.0,3.0,0,1,10.79159445,106.62785362180159
9.0,45.0,8.0,5.0,6.0,1,1,10.8121855,106.70404172557386
2.8,126.0,1.0,,,1,1,10.8298295,106.7617899
7.9,63.0,3.0,2.0,2.0,0,1,10.8121855,106.70404172557386
7.7,80.0,3.0,4.0,5.0,0,0,10.737754800000001,106.72971280655217
3.85,62.0,6.0,3.0,3.0,1,1,10.7607295,106.70710890359896
4.7,83.0,3.0,4.0,4.0,0,1,10.7763897,106.7011391
8.3,75.0,2.0,3.0,,0,1,10.778752650000001,106.6870307478091
1.9,19.0,4.0,2.0,2.0,1,1,10.7763897,106.7011391
10.7,140.0,3.0,15.0,15.0,0,0,10.8298295,106.7617899
2.85,34.0,3.0,2.0,2.0,0,1,10.8352833,106.67406562042235
4.4,55.0,3.0,,,0,1,10.8298295,106.7617899
12.5,63.0,3.0,5.0,5.0,0,1,10.77526035,106.69957286491969
5.5,43.0,3.0,3.0,4.0,0,0,10.79159445,106.62785362180159
8.8,53.0,3.0,4.0,4.0,0,0,10.8010732,106.6798916250364
9.5,70.0,4.0,6.0,6.0,1,1,10.7500035,106.51488582967849
6.28,46.0,5.0,5.0,3.0,0,1,10.8352833,106.67406562042235
6.8,57.0,6.0,5.0,5.0,0,1,10.7763897,106.7011391
5.9,45.0,4.0,3.0,4.0,0,0,10.8010732,106.6798916250364
1.75,5.0,2.0,2.0,2.0,0,1,10.8030656,106.65227606400094
2.45,20.0,3.0,2.0,2.0,0,0,10.7763897,106.7011391
7.9,75.0,4.0,4.0,,0,1,10.8030656,106.65227606400094
4.0,53.0,3.0,2.0,3.0,0,1,10.7763897,106.7011391
8.3,5.0,4.0,4.0,4.0,1,1,10.737754800000001,106.72971280655217
3.5,29.0,5.0,2.0,2.0,0,0,10.7659529,106.6475594370616
3.6,52.0,2.0,2.0,2.0,0,1,10.7705525,106.59952282588061
5.95,47.0,2.0,2.0,3.0,1,1,10.79159445,106.62785362180159
7.7,80.0,3.0,4.0,5.0,0,1,10.737754800000001,106.72971280655217
8.5,95.0,4.0,5.0,5.0,0,0,10.8352833,106.67406562042235
17.5,75.0,3.0,5.0,6.0,0,1,10.7726536,106.66821544343898
6.5,56.0,3.0,2.0,,1,0,10.8352833,106.67406562042235
8.5,62.0,5.0,4.0,5.0,0,1,10.8030656,106.65227606400094
3.5,58.0,4.0,4.0,4.0,0,1,10.8352833,106.67406562042235
6.1,63.0,4.0,3.0,3.0,1,1,10.8298295,106.7617899
5.7,26.0,3.0,4.0,4.0,0,0,10.8352833,106.67406562042235
18.8,170.0,7.0,28.0,30.0,1,1,10.861410750000001,106.66420925636413
5.0,50.0,,3.0,3.0,1,1,10.8352833,106.67406562042235
4.7,51.0,,,,1,0,10.79159445,106.62785362180159
8.48,72.0,4.0,5.0,4.0,0,1,10.8121855,106.70404172557386
0.36,60.0,2.0,3.0,3.0,1,1,10.878345,106.57635314823773
126.0,435.0,10.0,100.0,100.0,1,1,10.737754800000001,106.72971280655217
2.55,14.0,2.0,2.0,2.0,0,1,10.77526035,106.69957286491969
2.8,50.0,3.0,2.0,1.0,1,1,10.8298295,106.7617899
7.5,50.0,2.0,3.0,,0,0,10.8352833,106.67406562042235
42.0,400.0,,,,1,1,10.7705525,106.59952282588061
11.0,250.0,6.0,,,0,1,10.778752650000001,106.6870307478091
2.7,30.0,,2.0,3.0,1,1,10.778752650000001,106.6870307478091
8.9,190.0,4.0,,,0,1,10.778752650000001,106.6870307478091
0.56,75.0,,2.0,2.0,1,1,10.878345,106.57635314823773
8.89,90.0,5.0,8.0,,1,1,10.8298295,106.7617899
4.7,105.0,3.0,2.0,2.0,0,1,10.861410750000001,106.66420925636413
2.85,74.0,,2.0,2.0,1,1,10.861410750000001,106.66420925636413
4.2,40.0,4.0,3.0,3.0,0,1,10.8030656,106.65227606400094
4.0,30.0,,,,1,0,10.7500035,106.51488582967849
7.5,115.0,,7.0,7.0,1,1,10.861410750000001,106.66420925636413
9.5,30.0,5.0,3.0,,1,1,10.7726536,106.66821544343898
3.0,38.0,3.0,,,1,1,10.7500035,106.51488582967849
1.55,2.0,,2.0,2.0,0,1,10.7607295,106.70710890359896
5.3,75.0,1.0,2.0,1.0,0,0,10.7763897,106.7011391
3.0,54.0,,2.0,2.0,0,0,10.861410750000001,106.66420925636413
4.8,64.0,2.0,3.0,3.0,0,1,10.7705525,106.59952282588061
2.05,48.0,2.0,2.0,2.0,0,1,10.7220335,106.62949387003158
6.8,68.0,3.0,4.0,,0,1,10.8298295,106.7617899
3.5,55.0,,,,0,1,10.7705525,106.59952282588061
4.6,49.0,3.0,3.0,2.0,1,0,10.8352833,106.67406562042235
3.4,49.0,2.0,3.0,2.0,1,1,10.8352833,106.67406562042235
5.6,64.0,5.0,4.0,4.0,0,1,10.861410750000001,106.66420925636413
3.9,46.0,3.0,5.0,3.0,1,1,10.7220335,106.62949387003158
1.85,5.0,2.0,2.0,2.0,0,1,10.8030656,106.65227606400094
7.4,60.0,3.0,4.0,5.0,0,0,10.8121855,106.70404172557386
21.5,73.0,4.0,7.0,,1,1,10.7726536,106.66821544343898
18.42,90.0,4.0,6.0,6.0,1,1,10.7733621,106.7597722
5.9,32.0,3.0,4.0,4.0,0,1,10.8352833,106.67406562042235
4.0,64.0,3.0,3.0,3.0,0,1,10.861410750000001,106.66420925636413
7.7,70.0,4.0,4.0,6.0,0,1,10.8352833,106.67406562042235
10.0,152.0,2.0,5.0,3.0,0,1,10.7763897,106.7011391
3.95,45.0,3.0,2.0,2.0,0,1,10.8352833,106.67406562042235
9.0,75.0,5.0,12.0,7.0,0,1,10.737754800000001,106.72971280655217
4.4,49.0,3.0,3.0,,0,1,10.7705525,106.59952282588061
3.5,75.0,3.0,,,1,1,10.7705525,106.59952282588061
6.7,54.0,4.0,2.0,2.0,0,1,10.8352833,106.67406562042235
9.7,83.0,3.0,5.0,5.0,0,0,10.7763897,106.7011391
6.5,50.0,,,,0,1,10.745868250000001,106.63910717557408
12.0,68.0,5.0,4.0,4.0,0,1,10.8352833,106.67406562042235
3.4,22.0,3.0,,,0,0,10.7763897,106.7011391
9.0,3.0,3.0,3.0,2.0,1,1,10.745868250000001,106.63910717557408
6.0,61.0,,2.0,2.0,1,0,10.7705525,106.59952282588061
3.9,18.0,,3.0,3.0,1,1,10.778752650000001,106.6870307478091
8.6,175.0,,5.0,4.0,1,1,10.8298295,106.7617899
