,Price,Area,Floor,Bedroom,Restroom,Roadfrontage,Legal,Lat,Long
2130,12.3,96.0,3.0,4.0,3.9499103543951533,1.0,1.0,10.7377548,106.72971280655216
2131,6.6,45.0,4.082029530224563,4.0,3.66264463351473,1.0,1.0,10.8030656,106.65227606400094
2132,3.6,61.0,2.0,3.0,2.0,0.0,0.0,10.8311346,106.7715507
2133,2.0,55.0,4.0,3.0,3.0,0.0,1.0,10.8352833,106.67406562042235
2134,4.5,57.0,2.0,2.0,2.0,0.0,1.0,10.8121855,106.70404172557386
2135,4.35,66.0,3.0,2.197702032062414,1.9988942898691875,0.0,0.0,10.8298295,106.7617899
2136,5.9,86.0,1.0,2.0,2.0,0.0,1.0,10.7763897,106.7011391
2137,9.0,136.0,3.693632507980936,3.0,3.0,1.0,1.0,10.7705525,106.5995228258806
2139,7.5,64.0,4.0,4.0,4.0,0.0,1.0,10.8030656,106.65227606400094
2142,7.95,45.0,2.0,2.0,2.0,1.0,0.0,10.8010732,106.6798916250364
2143,0.85,100.0,2.0,3.0,3.0,1.0,0.0,10.878345,106.57635314823771
2144,4.8,54.60930641236704,2.4153437597275955,3.0535289012169735,2.9665145634237473,0.0,0.0,10.74586825,106.63910717557408
2145,0.65,55.0,4.0,4.0,3.0,0.0,1.0,10.7763897,106.7011391
2146,10.0,83.0,4.0,4.0,4.0,1.0,1.0,10.7500035,106.51488582967848
2147,4.3,38.0,2.0,2.0,2.0,0.0,1.0,10.79159445,106.6278536218016
2148,6.5,25.0,3.3187017728374575,3.0,4.0,1.0,1.0,10.8010732,106.6798916250364
2149,4.0,28.0,2.27890063548608,2.8128304977509564,3.0,0.0,1.0,10.7607295,106.70710890359896
2150,5.5,65.0,4.0,6.0,4.118021179210733,0.0,1.0,10.7705525,106.5995228258806
2151,5.5,45.0,4.0,3.0,4.0,0.0,0.0,10.79159445,106.6278536218016
2152,4.0,24.0,4.0,2.0,3.0,0.0,1.0,10.8030656,106.65227606400094
2153,3.65,64.0,3.0,2.9467336903768384,1.473235157190779,1.0,1.0,10.79159445,106.6278536218016
2154,3.1,50.0,3.0,4.0,3.0,1.0,1.0,10.7377548,106.72971280655216
2155,3.9,35.0,3.0,2.0,2.0,0.0,1.0,10.8121855,106.70404172557386
2156,5.8,28.0,5.0,3.0,4.0,0.0,0.0,10.7726536,106.66821544343898
2157,7.2,50.0,4.0,4.0,3.0,1.0,1.0,10.8298295,106.7617899
2158,3.7,45.0,2.0,2.0,2.0,0.0,1.0,10.79159445,106.6278536218016
2160,6.6,50.0,3.0,3.0,3.0,0.0,0.0,10.79159445,106.6278536218016
2161,4.25,46.0,5.0,4.0,3.0,0.0,1.0,10.79159445,106.6278536218016
2162,6.0,97.0,1.0,3.7785527452461185,3.099189079522571,0.0,0.0,10.7705525,106.5995228258806
2163,4.6,48.0,5.0,4.0,4.0,1.0,0.0,10.7705525,106.5995228258806
2164,3.2,27.0,4.0,3.0,3.0,0.0,1.0,10.7726536,106.66821544343898
2165,5.0,72.0,4.0,3.0,2.0,1.0,0.0,10.8352833,106.67406562042235
2166,6.98,96.0,2.0,3.5457158674056437,3.4500981528470422,1.0,1.0,10.8121855,106.70404172557386
2167,3.0,42.0,2.0,2.0,2.0,0.0,1.0,10.77526035,106.69957286491967
2168,7.9,40.0,3.0,5.0,6.0,1.0,0.0,10.8010732,106.6798916250364
2170,9.48,80.0,5.0,5.0,5.0,0.0,1.0,10.7763897,106.7011391
2172,4.25,50.0,2.0,3.0,2.0,0.0,1.0,10.79159445,106.6278536218016
2173,8.6,179.0,1.0,1.0,1.0,1.0,0.0,10.8298295,106.7617899
2174,4.8,25.0,3.0,2.0,2.0,0.0,1.0,10.8121855,106.70404172557386
2175,6.1,49.0,4.0,3.0,4.0,1.0,1.0,10.8352833,106.67406562042235
2176,9.9,64.0,2.0,3.0,3.0,1.0,0.0,10.8010732,106.6798916250364
2177,4.7,30.0,2.209489103416541,2.0,2.0,1.0,1.0,10.79159445,106.6278536218016
2179,10.8,60.0,4.13444669655245,3.0,4.0,0.0,0.0,10.8010732,106.6798916250364
2180,3.8,78.0,3.0,2.738372148050525,2.2641053534483864,1.0,1.0,10.79159445,106.6278536218016
2181,5.7,42.0,2.0,2.0,2.0,0.0,0.0,10.8121855,106.70404172557386
2182,13.5,73.81028869950048,6.0,5.0,4.0,1.0,0.0,10.7726536,106.66821544343898
2184,4.3,61.0,2.0,2.7584456833665922,2.9322052000568526,0.0,0.0,10.7705525,106.5995228258806
2185,4.1,60.0,3.357809123116283,2.0,2.0,0.0,1.0,10.7705525,106.5995228258806
2186,4.8,30.0,5.0,3.0,3.0,0.0,1.0,10.8030656,106.65227606400094
2187,5.9,33.0,2.0,4.0,4.0,1.0,1.0,10.8121855,106.70404172557386
2188,5.95,91.0,4.0,4.0,3.0,0.0,1.0,10.8298295,106.7617899
2190,3.5,40.0,3.0,2.0,2.0,0.0,1.0,10.7705525,106.5995228258806
2191,6.15,60.0,6.0,4.0,4.0,0.0,0.0,10.8121855,106.70404172557386
2192,3.15,30.0,2.0,3.0,2.0,0.0,0.0,10.8352833,106.67406562042235
2194,4.45,34.0,2.0,3.0,3.0,0.0,0.0,10.79159445,106.6278536218016
2195,5.0,48.0,2.912966876493345,3.9108185950703045,3.0,0.0,0.0,10.7705525,106.5995228258806
2196,7.99,60.0,5.0,5.0,5.0,0.0,1.0,10.8352833,106.67406562042235
2197,3.0,31.0,2.0,2.0,2.0,0.0,1.0,10.7220335,106.62949387003158
2199,7.3,54.0,2.0,3.0,2.0,0.0,1.0,10.77526035,106.69957286491967
2200,2.8,20.0,5.0,6.0,4.0,0.0,1.0,10.8030656,106.65227606400094
2201,5.0,70.0,1.0,3.1543530999194163,2.910408409928431,0.0,1.0,10.7500035,106.51488582967848
2202,3.85,40.0,2.4328860662186154,2.0,2.0,1.0,0.0,10.7377548,106.72971280655216
2203,1.65,33.0,2.0,2.0,2.0,0.0,1.0,10.7220335,106.62949387003158
2204,5.9,44.0,6.0,5.0,4.0,0.0,0.0,10.8121855,106.70404172557386
2205,6.8,85.0,2.0,3.227552545022191,2.9756946351590265,0.0,1.0,10.8352833,106.67406562042235
