,Price,Area,Floor,Bedroom,Restroom,Roadfrontage,Legal,Lat,Long
81,5.0,120.0,2.0,4.0,3.0,1,1,10.8298295,106.7617899
82,5.0,55.0,3.0,3.0,3.0,0,1,10.8298295,106.7617899
84,13.8,85.0,5.0,5.0,6.0,1,1,10.8298295,106.7617899
86,5.0,30.0,,,,0,1,10.7726536,106.66821544343898
87,11.5,111.0,,1.0,1.0,0,1,10.8352833,106.67406562042235
88,8.9,46.0,,4.0,2.0,0,0,10.7607295,106.70710890359896
89,8.6,54.0,4.0,4.0,5.0,0,0,10.8010732,106.6798916250364
90,6.0,73.0,,1.0,1.0,0,1,10.8030656,106.65227606400094
91,6.4,54.0,2.0,,,0,1,10.8030656,106.65227606400094
92,2.25,48.0,2.0,2.0,2.0,1,1,10.7705525,106.5995228258806
94,2.1,85.0,3.0,4.0,3.0,1,1,10.7500035,106.51488582967848
95,6.0,100.0,2.0,2.0,,1,1,10.7763897,106.7011391
96,10.0,82.0,2.0,2.0,2.0,1,1,10.8311346,106.7715507
97,1.05,45.0,3.0,4.0,4.0,0,0,10.7763897,106.7011391
98,5.3,60.0,3.0,4.0,3.0,0,1,10.7705525,106.5995228258806
99,7.0,52.0,6.0,7.0,7.0,0,0,10.8352833,106.67406562042235
100,12.0,103.0,5.0,5.0,6.0,1,1,10.8352833,106.67406562042235
101,6.1,48.0,2.0,2.0,2.0,0,0,10.8010732,106.6798916250364
102,2.85,24.0,2.0,2.0,2.0,0,0,10.8352833,106.67406562042235
103,6.0,60.0,4.0,,,1,1,10.79159445,106.6278536218016
104,8.8,75.0,3.0,4.0,5.0,0,0,10.8352833,106.67406562042235
105,2.7,30.0,3.0,2.0,2.0,0,1,10.79159445,106.6278536218016
106,7.3,44.0,6.0,5.0,5.0,0,0,10.7763897,106.7011391
108,5.6,50.0,4.0,3.0,2.0,0,1,10.8030656,106.65227606400094
109,9.0,52.0,3.0,3.0,3.0,0,1,10.7659529,106.6475594370616
111,1.55,48.0,2.0,2.0,2.0,1,1,10.7220335,106.62949387003158
112,1.7,36.0,2.0,2.0,2.0,0,1,10.8352833,106.67406562042235
113,4.0,54.0,3.0,3.0,2.0,0,0,10.7705525,106.5995228258806
115,5.65,38.0,5.0,3.0,4.0,1,1,10.7726536,106.66821544343898
116,4.8,42.0,2.0,2.0,3.0,0,1,10.8352833,106.67406562042235
118,7.0999999999999,5.0,3.0,2.0,3.0,1,1,10.79159445,106.6278536218016
119,8.0,40.0,5.0,3.0,3.0,0,1,10.7763897,106.7011391
120,6.3,46.0,3.0,3.0,3.0,1,1,10.77875265,106.6870307478091
121,3.8,33.0,,2.0,2.0,0,0,10.8030656,106.65227606400094
122,5.2,60.0,3.0,4.0,3.0,0,1,10.86141075,106.66420925636412
123,5.8,32.0,5.0,,,0,0,10.8030656,106.65227606400094
124,2.35,60.0,,2.0,2.0,0,1,10.7607295,106.70710890359896
125,3.5,49.0,3.0,2.0,2.0,1,1,10.7763897,106.7011391
126,1.75,48.0,2.0,2.0,2.0,1,1,10.7220335,106.62949387003158
127,4.5,52.0,3.0,2.0,1.0,0,1,10.86141075,106.66420925636412
128,5.6,42.0,,2.0,2.0,0,1,10.77875265,106.6870307478091
132,9.7,70.0,6.0,3.0,4.0,1,1,10.8352833,106.67406562042235
133,7.3,56.0,4.0,4.0,5.0,0,1,10.7705525,106.5995228258806
134,0.695,56.0,,3.0,3.0,1,0,10.878345,106.57635314823771
