Price,Area,Floor,Bedroom,Restroom,Address,Roadfrontage,Legal
6.7,52.0,,,2.0,"Bình Thạnh, Thành phố Hồ Chí Minh",False,Good
1.75,42.0,2.0,2.0,2.0,"Gò Vấp, Thành phố Hồ Chí Minh",False,Good
0.65,84.0,2.0,,1.0,"Gò Vấp, Thành phố Hồ Chí Minh",False,Good
0.43,20.0,,,1.0,"Quận 12, Thành phố Hồ Chí Minh",True,
5.3,28.0,3.0,3.0,3.0,"Quận 10, Thành phố Hồ Chí Minh",False,Good
7.2,96.0,,4.0,5.0,"Bình Tân, Thành phố Hồ Chí Minh",False,
5.8,61.0,4.0,2.0,3.0,"Tân Bình, Thành phố Hồ Chí Minh",True,Good
7.2,75.0,2.0,4.0,4.0,"Gò Vấp, Thành phố Hồ Chí Minh",False,
3.0,60.0,3.0,4.0,3.0,"Quận 1, Thành phố Hồ Chí Minh",False,
10.8,67.0,5.0,3.0,4.0,"Gò Vấp, Thành phố Hồ Chí Minh",True,Good
5.8,56.0,6.0,6.0,6.0,"Tân Phú, Thành phố Hồ Chí Minh",True,Good
7.8,60.0,5.0,4.0,6.0,"Gò Vấp, Thành phố Hồ Chí Minh",False,Good
5.5,65.0,2.0,2.0,3.0,"Tân Bình, Thành phố Hồ Chí Minh",False,Good
5.0,222.0,4.0,5.0,6.0,"Gò Vấp, Thành phố Hồ Chí Minh",True,Good
15.0,100.0,5.0,5.0,6.0,"Quận 7, Thành phố Hồ Chí Minh",True,Good
5.0,120.0,2.0,4.0,3.0,"Thủ Đức, Thành phố Hồ Chí Minh",True,Good
5.0,55.0,3.0,3.0,3.0,"Thủ Đức, Thành phố Hồ Chí Minh",False,Good
18.4,84.0,5.0,8.0,8.0,"Phú Nhuận, Thành phố Hồ Chí Minh",True,Good
13.8,85.0,5.0,5.0,6.0,"Thủ Đức, Thành phố Hồ Chí Minh",True,Good
25.0,52.0,,,3.0,"Bình Thạnh, Thành phố Hồ Chí Minh",True,
5.0,30.0,,,,"Quận 10, Thành phố Hồ Chí Minh",False,Good
11.5,111.0,,1.0,1.0,"Gò Vấp, Thành phố Hồ Chí Minh",False,Good
8.9,46.0,,4.0,2.0,"Quận 4, Thành phố Hồ Chí Minh",False,
8.6,54.0,4.0,4.0,5.0,"Phú Nhuận, Thành phố Hồ Chí Minh",False,
6.0,73.0,,1.0,1.0,"Tân Bình, Thành phố Hồ Chí Minh",False,Good
10.95,90.0,4.0,5.0,4.0,"Quận 2, Thành phố Hồ Chí Minh",True,Good
6.4,54.0,2.0,,,"Tân Bình, Thành phố Hồ Chí Minh",False,Good
17.0,128.0,7.0,6.0,8.0,"Bình Chánh, Thành phố Hồ Chí Minh",True,Good
2.25,48.0,2.0,2.0,2.0,"Bình Tân, Thành phố Hồ Chí Minh",True,Good
75.0,35.0,2.0,2.0,1.0,"Quận 3, Thành phố Hồ Chí Minh",False,Good
2.1,85.0,3.0,4.0,3.0,"Bình Chánh, Thành phố Hồ Chí Minh",True,Good
6.0,100.0,2.0,2.0,,Thành phố Hồ Chí Minh,True,Good
10.0,82.0,2.0,2.0,2.0,"Quận 9, Thành phố Hồ Chí Minh",True,Good
1.05,45.0,3.0,4.0,4.0,Thành phố Hồ Chí Minh,False,
5.3,60.0,3.0,4.0,3.0,"Bình Tân, Thành phố Hồ Chí Minh",False,Good
7.0,52.0,6.0,7.0,7.0,"Gò Vấp, Thành phố Hồ Chí Minh",False,
12.0,103.0,5.0,5.0,6.0,"Gò Vấp, Thành phố Hồ Chí Minh",True,Good
